3183309.229,1276770.809,5359441.896
4323990.133,165608.488,4670293.612
3847808.432,466929.138,5048358.507
3826531.737,461098.398,5064919.999
3829259.802,469161.718,5062138.588
3818465.996,451974.033,5071791.857
3826302.656,462822.522,5064935.612
3825841.343,461703.882,5065382.751
3826764.483,460099.821,5064837.748
4008433.516,-100298.395,4943740.025
3828719.134,454780.844,5063852.359
3837939.324,449560.188,5057382.565
3831436.940,463434.873,5061026.744
3824754.227,426178.280,5069291.146
3827411.242,460991.776,5064271.222
3827944.292,459792.072,5063991.294
3825598.822,461260.026,5065605.603
3797200.484,463086.944,5086606.304
3826515.124,460929.498,5064947.735
3826575.443,461022.381,5064894.064
3826921.923,460914.874,5064644.767
3826389.293,461869.285,5064957.191
3826404.920,460538.037,5065066.148
3826595.106,461144.611,5064868.256
3826667.126,461068.983,5064821.032
3826652.573,460939.008,5064843.704
3825624.156,460641.543,5065642.050
3826707.306,461913.180,5064715.116
3829790.184,452829.281,5063222.868
3783577.509,450178.319,5097832.116
3877845.833,467456.357,5025438.898
3824088.829,459437.716,5066899.468
3738419.860,1148177.474,5021757.299
4034029.374,487020.589,4900288.223
4152555.686,828858.040,4754363.277
3826460.431,461501.383,5064937.105
3796327.889,877577.966,5032759.657
3826665.446,461285.282,5064802.870
3826344.642,460791.544,5065088.414
3727199.877,655176.485,5117007.407
3845431.428,413580.320,5054757.453
3370282.509,712041.780,5349995.820
3850965.869,1439056.983,4860488.248
3801623.156,-529022.139,5077004.908
3826889.950,460387.343,5064716.570
3551478.798,1334115.307,5110182.659
3826012.643,460386.822,5065373.606
3826438.373,460273.266,5065064.872
3940276.046,816809.794,4932398.856
3827159.611,461408.841,5064422.324
3811594.238,453444.116,5076771.708
4005677.298,450980.791,4926460.475
