-2564897.754,5085472.868,-2860897.728
-2564857.457,5085483.379,-2860915.054
-2564879.572,5085459.774,-2860937.039
-2564915.084,5085446.228,-2860929.333
-2564937.929,5085452.164,-2860898.506
-2564930.594,5085473.758,-2860866.911
-2564898.762,5085494.730,-2860858.228
-2564866.129,5085499.150,-2860879.485
-2564769.654,5085506.402,-2860952.591
-2564728.973,5085523.918,-2860957.889
-2564740.854,5085501.620,-2860986.680
-2564774.927,5085482.374,-2860990.321
-2564804.592,5085481.565,-2860965.333
-2564808.055,5085499.508,-2860930.569
-2564782.302,5085522.856,-2860912.276
-2564746.969,5085533.557,-2860924.845
-2564840.070,5085431.403,-2861022.309
-2564809.171,5085457.775,-2861003.261
-2564799.381,5085443.055,-2861037.968
-2564820.592,5085419.514,-2861060.643
-2564856.034,5085404.681,-2861055.272
-2564879.206,5085410.251,-2861024.804
-2564874.056,5085431.078,-2860992.617
-2564842.712,5085452.727,-2860982.306
-2564952.972,5085388.284,-2860997.899
-2564926.036,5085415.379,-2860974.049
-2564911.788,5085403.348,-2861007.977
-2564927.952,5085380.310,-2861034.258
-2564963.087,5085362.797,-2861033.890
-2564990.549,5085364.948,-2861005.638
-2564989.254,5085384.672,-2860971.967
-2564960.965,5085407.078,-2860957.599
-2565025.504,5085407.082,-2860900.116
-2565024.055,5085429.920,-2860861.081
-2564992.117,5085433.027,-2860884.040
-2564986.006,5085416.571,-2860918.538
-2565008.809,5085393.403,-2860939.136
-2565044.298,5085380.097,-2860931.023
-2565065.466,5085387.366,-2860899.338
-2565057.238,5085409.133,-2860868.233
-2565002.136,5085475.542,-2860800.047
-2564961.634,5085487.148,-2860815.626
-2564982.229,5085463.731,-2860838.631
-2565017.929,5085449.078,-2860832.711
-2565042.013,5085454.137,-2860802.329
-2565035.980,5085475.441,-2860770.083
-2565005.167,5085496.533,-2860760.282
-2564972.139,5085502.114,-2860779.844
-2564900.903,5085542.231,-2860772.447
-2564895.715,5085522.064,-2860812.678
-2564929.529,5085515.525,-2860794.110
-2564942.018,5085528.794,-2860759.558
-2564923.281,5085552.075,-2860735.134
-2564888.365,5085568.216,-2860737.730
-2564862.600,5085564.749,-2860766.797
-2564865.069,5085544.899,-2860799.648
-2564797.199,5085556.349,-2860839.872
-2564835.920,5085549.601,-2860817.304
-2564809.118,5085572.814,-2860800.184
-2564773.854,5085583.630,-2860812.489
-2564756.399,5085573.498,-2860845.923
-2564769.116,5085550.626,-2860874.985
-2564803.619,5085531.836,-2860877.438
-2564833.021,5085531.828,-2860851.270
-2565157.274,5085354.776,-2860875.115
-2565140.506,5085381.471,-2860842.915
-2565117.882,5085375.555,-2860873.510
-2565124.040,5085354.342,-2860905.480
